0 1 2
1040382138573627392 1 12
1040377932756201473 1 36
1040271544629555200 17780 130646
1040248067482705921 0 12
1040245706836070400 1 11
1040091701656858624 1 79
1040064649121726465 2 150
1040035413258371072 2 550
1040034688545513473 10139 90996
1039952984011169799 0 228
1039950318463840256 466153 0
1039937673459380226 0 125
1039929980501807105 0 10
1039914021846228994 23 543
1039907503956471808 0 64
1039674477431451648 8702 67840
1039555936120123393 494 0
1039337600258072576 0 4
1039302628365279232 3 393
1039301999580180480 42887 199380
1039297074360201216 3 369
1039230196493242371 29 1722
1039215895866953728 0 304
1039213214238687232 1 780
1039212620040032259 6948 62263
1038949748739387396 0 4
1038949627628843008 7 731
1038947334732873731 20380 115354
1038850643228876800 93649 0
1038811129592655873 28 2537
1038537255860805632 356 0
1038537233354108931 61 3901
1038368996238741504 1 35
1038140789073883141 1 285
1038133518596022284 0 356
1038132323429048320 0 229
1038130242659999748 4074 33379
1037881803112165376 0 17
1037869225485000705 13030 100209
1037743790633705473 0 99
1037505505143468032 23 998
1037490306202181632 10766 83836
1037458135764664320 2 27
1037427759965003777 2 139
1037411581905317892 0 41
1037406896087552001 0 10
1037397251168063488 0 49
1037133899812548608 5 628
1037131532442460161 0 13
1037131379769794560 7 898
1037130675898470400 0 277
1037130616452603904 0 248
1037129657580244992 23568 112191
1037038857617858561 4 267
1037026428255182848 1 33
1037024656107229184 10 556
1037024179940478976 6131 62769
1036978876562464769 3 454
1036697153022906374 1 598
1036696803163467776 28905 171612
1036420448307826688 1 149
1036408950948876289 1 265
1036397038051713025 4 556
1036395995993661440 12313 97798
1036353110866882565 207859 0
1036348888083386368 0 1
1036275914169102337 2 267
1036040991025885185 0 18
1036003762756886529 6 148
1035990014377820160 2 435
1035987263451226112 0 45
1035987138326749194 4 385
1035985322977439744 8163 73877
1035905821153140736 0 4
1035904572051660800 0 0
1035765793643024384 4 660
1035765430739185664 0 3
1035569882367188992 0 101
1035565804258054145 0 144
1035564245126135808 3876 24785
1035316013619965953 0 3
1035305247734984706 0 7
1035304660809207808 0 259
1035304594086211584 0 22
1035297468450320385 9 808
1035296803019804679 1 618
1035296038603644928 34611 157905
1035252337806372866 0 12
1035208284515561472 6 703
1035195671953977344 4982 58150
1034971716274069507 1 80
1034901168043057153 0 70
1034882626526609408 0 60
1034874722662662145 105849 0
1034841758784475136 0 3
1034840754416480256 2 155
1034839076107681793 1 5
1034838518063935488 0 32
1034833140441858048 1643 19096
1034674451349168133 10 577
1034673970992369664 44 2806
1034596197946863616 5680 53740
1034566261240483841 0 6
1034550615358275584 0 10
1034550337154306049 0 2
1034516829811757056 462 0
1034471171499196416 22586 112576
1034438135088914432 0 9
1034225571528695808 8551 75633
1034195157791297536 0 5
1034175263175843841 0 55
1034110152620814337 1 32
1034093493868744706 2665 33950
1033870547002773504 4 719
1033869231056670721 13338 103797
1033780515646697475 2 143
1033751555751772161 29 2362
1033749752809177089 17323 0
1033472339118317569 0 42
1033472220755058688 323943 0
1033455757612732416 387 0
1033432677028904966 3922 47727
1033204283477516289 1 5
1033204013964120065 0 41
1033134234838425600 2 211
1033112574919929856 2341 0
1033107791081340928 4 239
1033106300027236365 0 10
1033099700323409920 1 23
1033089212357197825 0 3
1033076392240599040 4 434
1033043208807231488 2 490
1033028629805125632 20 850
1033026665046265856 3498 28346
1032761464308879365 20 1305
1032757340389470208 5 699
